,Tweet,Stemmed,Sentimen
382, wahai kpuri sadarkah kah engkau begitu banyak petugas yang meninggal semoga itu bukan laknat allah yg buat, wahai kpuri sadarkah engkau banyak tugas tinggal moga bukan laknat allah buat ,-1
383, makin aneh nih kpu, makin aneh kpu ,-1
384, kpuid harusnya begitu, kpuid harusnya ,1
385, kpuid norak bergembira , kpuid norak gembira ,-1
386, kpuid viralkan c aslinya halo kpuid semoga kembali ke jalan yang lurus ya, kpuid viralkan c aslinya kpuid moga jalan lurus ,-1
387, kpuid malu hanya untuk manusia hehe, kpuid malu manusia hehe ,-1
388, min kpuid bertaubat lah atau kalau kau bukan orang beragama minimal malu lah , kpuid bertaubat kalau kau bukan agama minimal malu ,-1
389, mungkin media kpu bawaslu itu satu anggota badan, mungkin media kpu bawaslu satu anggota badan ,-1
390, pola nya sama situng web kpu disusupi c palsu suara jokowi melonjak naik di medan, pola sama situng web kpu disusupi c palsu suara jokowi lonjak naik medan ,-1
391, kpuid sumpah seratus juta persen saya mah percaya kpu dan yakin quickcount yang sudah memenangkan paslon, kpuid sumpah ratus juta persen percaya kpu yakin quickcount menang paslon ,-1
392, luar biasa ada hadiah  milyar rupiah disediakan  bagi siapa saja yang bisa buktikan minimal  persen kecurangan yang dilakukan, luar biasa hadiah  milyar rupiah disediakan  siapa buktikan minimal  persen curang dilakukan ,1
393, bener melihat pelacuran politik di kpu melawan akal sehat mendukung kecurangan nauzubillah min dzalik, bener lihat lacur politik kpu lawan akal sehat dukung curang nauzubillah dzalik ,-1
394, supaya hasil pemilu diterima rakyat sebaiknya dihitung bareng situng kpu sulit diterima kebenarannya karena tidak sesuai gelora, hasil pemilu diterima rakyat baik dihitung bareng situng kpu sulit diterima benar suai gelora ,-1
395, kalau salahnya terus menerus berulang dengan pola yang sama itu namanya curang pak kpuid hari gini kok, kalau salahnya terus terus ulang pola sama namanya curang kpuid hari gini ,-1
396, wiihhh ko beda yah sama laporannya kpu kemarin  dan  masih dalam perbaikan semoga, ko beda yah sama lapor kpu kemarin   baik moga ,-1
397, kpu mengakui ada sekitar  salah input data dan itu dianggap bukan tindak kecurangan padahal tim bpn mengklaim sudah berhasil, kpu kitar  salah input data dianggap bukan tindak curang padahal tim bpn klaim hasil ,-1
398, kpuid hahahaha ngeles aja mereka , kpuid ngeles ,-1
399, sudah mulai terbuka kok yang suka nuduh tapi pas giliran diminta adu data muter ga jelas yang bilang menang, mulai buka suka nuduh gilir diminta data muter jelas bilang menang ,-1
400, stop situng ngaco kpu , stop situng ngaco kpu ,-1
401, bpn bawa temuan kesalahan input brutal situng kpu tertinggi di jateng, bpn bawa temu salah input brutal situng kpu tinggi jateng ,-1
402, kpuid hmmm awas diciduk ya, kpuid hmmm awas diciduk ,-1
403, badan pemenangan nasional bpn prabowo sandiaga melaporkan kpu dan lembaga survei yang merilis quick count di stasiun televisi, badan menang nasional bpn prabowo sandiaga lapor kpu lembaga survei rilis quick count stasiun televisi ,-1
404, kpuid toh pasti ketahuan karena berberapa pihak termasuk  memliki c yang sesuai c kpps jawaban pertanyaan tersebut adalah, kpuid tahu berberapa pihak masuk  memliki c suai c kpps jawab tanya sebut ,-1
405, kpuid salah input yang sengaja sama dengan curang klo ngomong gak sengaja kenapa salah, kpuid salah input sengaja sama curang klo ngomong sengaja salah ,-1
406, ngomong curang dimulut siapa saja bisa buktikan kecurangan dengan bawa c yang sudah dipegang masing paslon, ngomong curang dimulut siapa buktikan curang bawa c dipegang masing paslon ,-1
407, setelah ketemu kpu akhir nya dia terpapar tabiat kpu juga salah input, ketemu kpu akhir terpapar tabiat kpu salah input ,-1
408, input form c yang dilakukan dalam situng kpu berbeda hasilnya dengan fakta perolehan suara di tps dalam input perolehan , input form c dilakukan situng kpu beda hasilnya fakta suara tps input ,-1
409, kpuid salah input kok bancakan punya hati nurani ngak yang berlaku tidak amanah semoga azab didunia di segerakan aamiin, kpuid salah input bancak punya hati nurani laku amanah moga azab didunia segerakan aamiin ,-1
410, sedikit cerita terima kasih banyak kpuid banyak relawan yang telah gugur mengawal c nya dengan suguhan input di web, sedikit cerita terima kasih banyak kpuid banyak relawan gugur kawal c suguh input web ,1
411, setuju kpu tak jelas, tuju kpu jelas ,-1
412, kami sangat terkejut karena hari ini saja kami menemukan  kesalahan entry data jumlah itu kami peroleh dr audit, sangat kejut hari temu  salah entry data jumlah peroleh audit ,-1
413, diminta diskualifikasi capres dan setop real count kpu tak tunduk pada siapa pun , diminta diskualifikasi capres setop real count kpu tunduk siapa ,1
414, ayo kpuid klo anda berani jurdil itu hebat, kpuid klo berani jurdil hebat ,1
415, tahapan opini kpuid  awal sistem it kami terbaik  ketemu salah data petugas cape  masih salah ada potensi, tahap opini kpuid  awal sistem it baik  ketemu salah data tugas cape  salah potensi ,-1
416, kpu semakin tolol miris, kpu makin tolol miris ,-1
417, lah emang menang kok yang menghalalkan segala cara itu sebelah gak percaya audit tuh situng kpu, emang menang halal segala cara belah percaya audit situng kpu ,-1
418, kpuid goblok  presiden ke  itu siapa asal, kpuid goblok  presiden  siapa asal ,-1
419, kpuid  dulu  daripada  pusing sendiri utak atik angka makar allah lebih hebat, kpuid  dulu   pusing sendiri utak atik angka makar allah lebih hebat ,-1
420, kpu nya tukang angon keong racun sih, kpu tukang angon keong racun ,-1
421, ed sheeran nih saya situng kpu kenapa bisa memungkinkan untuk salah input ya saya benar sssheeeran, situng kpu mungkin salah input benar ,-1
422, mata kpuid picek, mata kpuid picek ,-1
423, ayo kpuid anda harus berani jika anda jujur  , kpuid berani jujur  ,1
424, bawa bukti ke bawaslu tim it bpn laporkan   kesalahan input situng kpu, bawa bukti bawaslu tim it bpn laporkan  salah input situng kpu ,-1
425, hentikan situng kpu , hentikan situng kpu ,-1
426, gubernur lemhanas minta kpu perbaiki kesalahan secara transparan wahai kpuid sadarlah  ingat hidup ini hanya sekali, gubernur lemhanas minta kpu perbaiki salah cara transparan wahai kpuid sadarlah  ingat hidup kali ,-1
427, kpu nyatakan prabowo menang di bengkulu percaya kpu nyatakan jokowi menang pilpres gak percaya kpu, kpu nyatakan prabowo menang bengkulu percaya kpu nyatakan jokowi menang pilpres percaya kpu ,1
428, siang kpuid update kecurangan  jam  lampung kota metro barat mulyojati l tps  situng kpu  , siang kpuid update curang  jam  lampung kota metro barat l tps  situng kpu  ,-1
429, khusus untuk didaerah yang dimenangkan paslon  misalnya aceh sumbar dll relative tak ada kecurangan terimakasih kpu, khusus didaerah dimenangkan paslon  misalnya aceh sumbar relative curang terimakasih kpu ,1
430, sore kpuid tanggal  jam  lapor telah terjadi perubahan suara di jaktim cakung cakung timur tps situng kpu , sore kpuid tanggal  jam  lapor jadi ubah suara jaktim cakung cakung timur tps situng kpu ,-1
431, guru besar ui prof ronnie higuchi rusli menyatakan komisi pemilihan umum kpu tidak layak jadi penentu hasil pemilu , guru besar ui prof rusli nyata komisi pilih umum kpu layak jadi hasil pemilu ,-1
432, kpuid kejujuranmu menjadi ibadah kecuranganmu menjadi azabmu, kpuid jujur jadi ibadah kecuranganmu jadi azabmu ,-1
433, kpuid ga becus kerja tutup situng ini pembodohan, kpuid becus kerja tutup situng bodoh ,-1
434, ada  kesalahan input yang dilaporkan bpn semuanya merugikan suara  dibali  kesalahan input menaikan suara ,  salah input dilaporkan bpn semua rugi suara  dibali  salah input naik suara ,-1
435, setuju dihentikan sementara lakukan perbaikan system manajemen hitung kpu makanya audit dulu lah, tuju dihentikan lakukan baik system manajemen hitung kpu makanya audit dulu ,-1
436, parah asli parah dan ada yang bilang baik saja awalnya kan kami temukan  sekarang  kesalahan, parah asli parah bilang baik awalnya temukan  sekarang  salah ,-1
437, yang ngeributin kpu curang kubu yang merasa presiden dengan  kemenangan kok, ngeributin kpu curang kubu rasa presiden  menang ,1
438, anggota kpu harus diproses hukum data kpu harus diaudit cukup sampai disini kecurangan ini, anggota kpu diproses hukum data kpu diaudit cukup disini curang ,-1
439, kpuid kecurangan massiv terstruktur dan brutal , kpuid curang massiv struktur brutal ,-1
440, bukan kecurangan tapi kejahatan pidana kpu sudah disusupi berapapun  raih suara, bukan curang jahat pidana kpu disusupi berapapun  raih suara ,-1
441, masih anget cek ke tkp langsung c yang ditukar sinetron kpu  , anget cek tkp langsung c ditukar sinetron kpu  ,-1
442, revisi jawa barat kota sukabumi lembursitu situmekar tps hasil pindai sudah dihapus dari situng kpu, revisi jawa barat kota sukabumi lembursitu situmekar tps hasil pindai dihapus situng kpu ,1
443, kpuid kenapa di suruh bentuk tpf tidak berani padahal kecurangan masif di mana saja seolah masih aman saja, kpuid suruh bentuk tpf berani padahal curang masif mana aman ,-1
444, kpuid cuman kalian kerja kebanyakan salahnya dodol, kpuid cuman kalian kerja banyak salahnya dodol ,-1
445, kpuid yang namanya kesalahn jika sengaja dibiarkn itu namanya kecurangan , kpuid namanya kesalahn sengaja dibiarkn namanya curang ,-1
446,  jadi  kalsel aku cek barusan sabtu  april  jam   wib belum sesuai belum direvisi tepok jidat, jadi  kalsel cek barusan sabtu  april  jam  suai direvisi tepok jidat ,-1
447, kpuid emang parah in syaa alloh bakteri yang kurang kerjaan itu dibasmi setelah ganti presiden, kpuid emang parah in bakteri kurang kerjaan dibasmi ganti presiden ,-1
448, habib rizieq minta situng dihentikan kpu menolak ditekan, habib rizieq minta situng dihentikan kpu tolak ditekan ,-1
449, kpuid kpuri bawasluri terpaksa rakyat kawal suaranya sendiri wasit tidak bisa dipercaya lagi, kpuid kpuri bawasluri paksa rakyat kawal suaranya sendiri wasit dipercaya ,-1
450, kpu ri berikan santunan pada keluarga kpps yang wafat, kpu ri ikan santun keluarga kpps wafat ,1
451, kacau situng kpu disusupi c palsu suara jokowi di medan bertambah   , kacau situng kpu disusupi c palsu suara jokowi medan tambah  ,-1
452, jika kalian melihat data kpu menggelembungkan suara  daerah kalian maka segeralah ambil buktinya dan kita usut karena itu kecurangan, kalian lihat data kpu gelembung suara  daerah kalian segeralah ambil buktinya usut curang ,-1
453, kpuid kpu sampah kardus, kpuid kpu sampah kardus ,-1
454, kpuid sip, kpuid sip ,1
455, kpuid mereka haus jabatan, kpuid haus jabat ,-1
456, kpuid tunduk sih tidak cuma diem bantu curang go to hell motherfucker semoga jawaban saat di hisab nanti memuaskan allah, kpuid tunduk diem bantu curang go hell motherfucker moga jawab hisab puas allah ,-1
457, wakil ketua dpr yang juga waketum gerindra fadlizon mengatakan sistem penghitungan suara situng kpu bermasalah, wakil ketua dpr waketum gerindra fadlizon kata sistem hitung suara situng kpu bermasalah ,-1
458, tidak mau di salahkan dengan alasan kecurangan tetapi kesalan itu muncul berulang kali situng kpu salah input data, salahkan alas curang kesalan muncul ulang kali situng kpu salah input data ,-1
459,  prof ketularan virus kpu , prof tular visa kpu ,-1
460, virus kpu nular ke pembelanya korting terus, visa kpu nular bela korting terus ,-1
461, rakyat sudah tau kpu dan jokowi pasti menipu, rakyat kpu jokowi tipu ,-1
462, akun resmi kpuid online ngelike tweet akun buzzer yang menghina kubu  dan menghina habib rizieq bukan masalah, akun resmi kpuid online tweet akun buzzer hina kubu  hina habib rizieq bukan masalah ,-1
463, kpuid lagak lu gak tunduk sama siapapun tapi isi kepala curang melulu, kpuid lagak lu tunduk sama siapapun isi kepala curang melulu ,-1
464, kpu dan bawaslu masih bingung terus mau jadi apa pemilu kita ini, kpu bawaslu bingung terus jadi pemilu ,-1
465, ingat kejahatan bukan semata karena ada niat dari pelakunya tetapi juga karena ada kesempatan, ingat jahat bukan mata niat laku sempat ,-1
466, coba tanyakan kepada pak sby yang sudah x merasakan hasil kinerja kpu lah kpu kan sudah menjadi alat penyelenggara, coba tanyakan sby x rasa hasil kinerja kpu kpu jadi alat selenggara ,1
467, memantau langsung proses situng sistem informasi penghitungan suara di kpuid proses situng sering mengalami banyak kesalahan, pantau langsung proses situng sistem informasi hitung suara kpuid proses situng sering alam banyak salah ,-1
468, jangan nyuruh kpuid nambahin ntar jadi , jangan nyuruh kpuid nambahin jadi ,-1
469, situng untuk membentuk opini bahwa hasil real count sama dengan quick count ini yang bahaya, situng bentuk opini hasil real count sama quick count bahaya ,-1
470, kpu tetap menangkan mereka people power mereka atasi dengan gas air mata mungkin sudah takdir akhir zaman kita, kpu tetap menangkan people power atasi air mata mungkin takdir akhir zaman ,-1
471, hasil pemilu tak ditentukan itu pertanyaannya untuk apa ada real count by kpu melalui website kpu apakah untuk menggiring opini, hasil pemilu ditentukan tanya real count kpu lalu website kpu giring opini ,-1
472, kpuid kalau gajian biar di hitung kpu  bisa  juta, kpuid kalau gaji hitung kpu   juta ,-1
473, kalau emang legowo kenapa ada ijtima yang dateng bpn dan intinya mendesak, kalau emang legowo ijtima dateng bpn intinya desak ,1
474, menurut pakar it universitas airlangga soegianto soelistiono  situng kpu perlu dihentikan sementara, turut pakar it universitas airlangga soegianto soelistiono  situng kpu perlu dihentikan ,-1
475, kpu penipu pembohong dan penjilat uang rakyat, kpu tipu bohong jilat uang rakyat ,-1
476, mari kita hargai kerja waras kpu biar selalu benar di mata yang menang dalam kekalahan, hargai kerja waras kpu selalu benar mata menang kalah ,-1
477, perbaiki systemnya, perbaiki systemnya ,-1
478, kalau salah input oleh kpu dikoreksi ketika ditemukan lha kalo kesalahan input yang tertutup dan tidak terungkap mungkin, kalau salah input kpu dikoreksi ditemukan salah input tutup ungkap mungkin ,-1
479, efek terlalu membela kpu jadi salah input , efek lalu bela kpu jadi salah input ,-1
480, klo gini percaya kpu klo nasional tidak percaya kpu, klo gini percaya kpu klo nasional percaya kpu ,1
481, saya pengen lihat nih kayak apa hebatnya situng kpu kata wakil ketua dpr fadlizon, pengen lihat hebatnya situng kpu kata wakil ketua dpr fadlizon ,-1
482, bpn prabowo sandiaga laporkan kpu dan lembaga survei ke bawaslu direktur hukum dan advokasi, bpn prabowo sandiaga laporkan kpu lembaga survei bawaslu direktur hukum advokasi ,-1
483, semoga jadi awal yang baik untuk terbongkarnya siluman pada system it kpu, moga jadi awal baik bongkar siluman system it kpu ,-1
484, awasi terus situng kpu jangan sampai rampok berkeliaran, awasi terus situng kpu jangan rampok keliar ,-1
485, kpuid siapa pun yang terpilih itu lah yang terbaik buat negara karena itu sudah kehendak allah makanya, kpuid siapa pilih baik buat negara hendak allah makanya ,1
486, iya pak di bongkar saja it nya bukan di gedung kpu nya pak ada di daerah tidak jauh dari, iya bongkar it bukan gedung kpu daerah jauh ,-1
487, haruskah di bilang kpuid sungguh huhuhuhuhu budeg tolol, haruskah bilang kpuid sungguh budeg tolol ,-1
488,  ketua kpu meninggal tiba tiba di duga diracun  kpps  ratus lebih yang meninggal sungguh aneh dan memprihatinkan, ketua kpu tinggal tiba tiba duga diracun  kpps  ratus lebih tinggal sungguh aneh prihatin ,-1
489, innalillahi nambah lagi nih dosa kpuid, innalillahi nambah dosa kpuid ,-1
490, kpuid bawasluri owh ternyata salah input bukan salah curang, kpuid bawasluri nyata salah input bukan salah curang ,-1
491, jumlah tps  salah input data kpu  data koreksi kesalahan input tidak seberapa signifikan untuk paslon mas, jumlah tps  salah input data kpu  data koreksi salah input beberapa signifikan paslon mas ,1
492, ayolah akui kpuid, ayolah akui kpuid ,-1
493, kpuid tai bajingan mempermainkan suara rakyat triliunan habis buat pemilu tapi kalian sia sia kan, kpuid tai bajing main suara rakyat triliun habis buat pemilu kalian ,-1
494, kpuid kpu rasa cebong, kpuid kpu rasa cebong ,-1
495, bpn prabowo laporkan situng kpu ke bawaslu, bpn prabowo laporkan situng kpu bawaslu ,-1
496, kpuid terlalu gebukin aja di massa biar yang lain mikir kalo mau maling suara rakyat, kpuid lalu gebukin massa mikir maling suara rakyat ,-1
497, kpu tidak boleh ditekan oleh siapapun, kpu ditekan siapapun ,1
498, kpuid sudah begitu sakit kah bangsa ini sampai kejujuran sudah musnah, kpuid sakit bangsa jujur musnah ,-1
499, tes jajak pendapat tweps apa masih percaya kah dengan kpu jika tidak percaya lagi silahkan di rt , tes jajak tweps percaya kpu percaya ,-1
500,  pemilu yang paling buruk sepanjang sejarah bu titiek soeharto menyampaikan dengan tegas bahwa pemilu  ini lebih, pemilu paling buruk panjang sejarah bu tegas pemilu  lebih ,-1
501, lhaaa masih kecil kalo selisih  jt seharusnya selisih sudah sampe  jt dengan kondisi kpu yg carut marut begini, kecil selisih  selisih sampe  kondisi kpu carut marut begini ,-1
502, kpuid ini bukan nya salah input lagi tapi udah kriminal memalsukan dokumen negara lembaga kalau udah , kpuid bukan salah input udah kriminal palsu dokumen negara lembaga kalau udah ,-1
503, kpuid c yang sudah dipindai yang sesuai dengan hasil kpps sama orang kpu ri dirubah kembali menjadi c yang palsu, kpuid c dipindai suai hasil kpps sama kpu ri dirubah jadi c palsu ,-1
504, kok teganya mereka terhadap para pejuang di tps kpu bawaslu dasar tidak tau malu, teganya hadap juang tps kpu bawaslu dasar malu ,-1
505, kpuid betul banget, kpuid betul banget ,1
506, tangkap dong ketua kpuid dia yang paling bertanggung jawab woyy bawasluri  ulah cicing wae atuh, tangkap dong ketua kpuid paling bertanggung jawab bawasluri  ulah wae ,-1
507, kejanggalan formulir c di sistem informasi perhitungan suara situng kpu terjadi di tps  celawan pantai cermin serdan, janggal formulir c sistem informasi hitung suara situng kpu jadi tps  celawan pantai cermin serdan ,-1
508, selepas pemilu kalian kpuid yang paling dicari, lepas pemilu kalian kpuid paling dicari ,-1
509, lain kali kalau ada pemilu males ajak kalian lagi kpuid ini sih bukan salah input scanernya bermasalah sama otaknya yang, kali kalau pemilu males ajak kalian kpuid bukan salah input scanernya bermasalah sama otaknya ,-1
510, saran saya kepada kpuid dan bawasluri  buatlah penghitungan suara berbasis c terbuka di gbk  propinsi  proses, saran kpuid bawasluri  buatlah hitung suara berbasis c buka  propinsi  proses ,1
511, itu kan menurut orang yang tidak terima kalah nuduh kpu mempermainkan suara, turut terima kalah nuduh kpu main suara ,1
512, seolah sudah dirancang demikian situng kpu sesuai dengang realcount, dirancang situng kpu suai dengang realcount ,-1
513, kpu hanya tunduk pada undang, kpu tunduk undang ,1
514, bobrok politik indonesia, bobrok politik indonesia ,-1
515, kpuid pret, kpuid pret ,-1
516, kpuid brutal, kpuid brutal ,-1
517, ini belum  mei bayangkan  mei nanti jika kesalahan situng dan segala kecurangan yang ada,  mei bayangkan  mei salah situng segala curang ,-1
518, ya iyalah introspeksi dong itu kan karena alasan masuk akal memang kecurangan harus dibuktikan tapi sikap, iyalah introspeksi dong alas masuk akal memang curang dibuktikan sikap ,-1
519, mending pakai excel aja deh, mending pakai excel ,-1
520, kpu sangat tidak menghargai jasa para petugas tps, kpu sangat harga jasa tugas tps ,-1
521, kpu sejauh ini sudah profesional dan transparan, kpu jauh profesional transparan ,1
522, kpu lah kualitas kpu nya aja salah input melulu dan anehnya salah, kpu kualitas kpu salah input melulu anehnya salah ,-1
523, begitu banyaknya petugas yang meninggal salah satu penyebabnya adalah karena sistem yang sudah dirubah dari, banyaknya tugas tinggal salah satu sistem dirubah ,-1
524, ini lagi cebong bikin kotor timeline aja mending kalo yang ditulis bener sekarang saya tanya di input situng kpu ada, cebong kotor timeline mending ditulis bener sekarang tanya input situng kpu ,-1
525, iya betul pendukung wowo selalu teriak curang seakan udah tidak percaya kpu dan bawaslu hadeh mau main hakim sendri, iya betul dukung selalu teriak curang seakan udah percaya kpu bawaslu hadeh main hakim sendri ,1
526, amin rais minta audit forensik kpu menjawab hasil pemilu tak ditentukan it nah klo gitu ngapain pake real count kpu, amin minta audit forensik kpu jawab hasil pemilu ditentukan it klo gitu ngapain pake real count kpu ,-1
527, tak main bawa bukti  salah hitung kpu tim it bpn datangi bawaslu, main bawa bukti  salah hitung kpu tim it bpn datangi bawaslu ,-1
528, bpn melaporkan  ribu kesalahan data situng kpu, bpn lapor  ribu salah data situng kpu ,-1
529, besok saya beberkan data salah satu tim bpn relawan pendukung prabowo yang katanya temukan kesalahan situng kpuid dan simpukan, besok beberkan data salah satu tim bpn relawan dukung prabowo katanya temukan salah situng kpuid simpukan ,-1
530, kpuid bisa memprosesnya sesuai hukum sop kpu ya kan proses benalu ini, kpuid proses suai hukum sop kpu proses benalu ,1
531, ketua kpu bilang data situng bukan hasil resmi tapi disuruh menghentikan untuk sementara waktu karena banyaknya kesalahan, ketua kpu bilang data situng bukan hasil resmi disuruh henti waktu banyaknya salah ,-1
532, kpu kalian itu gila buta dan budeg yang beredar itu fakta bukan opini, kpu kalian gila buta budeg edar fakta bukan opini ,-1
533, saya mau bahas data temuan bpn relawan pendukung prabowo yang katanya temukan salah input di situng kpuid ujungnya menyimpulkan, bahas data temu bpn relawan dukung prabowo katanya temukan salah input situng kpuid ujungnya simpul ,1
534, kpu kira mau tidak koreksi bandingkan hasilnya dengan punya tni atau malah pura tidak tahu, kpu kira koreksi bandingkan hasilnya punya tni malah pura beri ,-1
535, sudah seperti kpuid aja nih salah input menurut c sby itu presiden ri ke  kenapa diinput ke , kpuid salah input turut c sby presiden ri  diinput ,-1
536, guru besar ui kpu sudah tidak layak jadi penentu hasil pemilu, guru besar ui kpu layak jadi hasil pemilu ,-1
537, prof pak sby bukannya presiden ke  ya akibat deket deket kpu nih, prof sby bukannya presiden  akibat deket deket kpu ,-1
538, masih ingat berita media kompas  desember  anda mengatakan salah sedikit saja pemilu akan disebut gagal, ingat berita media kompas  desember  kata salah sedikit pemilu disebut gagal ,-1
539, ngapain nunggu ke mk segala lebih baik yang sudah ketahuan sekarang yang kpu seger, ngapain nunggu mk segala lebih baik tahu sekarang kpu seger ,-1
540, kpu khianati amanah rakyat, kpu khianati amanah rakyat ,-1
541, ada upaya penghilangan saksi c ditingkat tps secara masif atau ini akibat dari mubahala gus nur, upaya hilang saksi c ditingkat tps cara masif akibat mubahala gus nur ,-1
542, saya mengusulkan hitung real count oleh kpuid harusnya di mulai dari satu persatu daerah provinsi dan live di siarkan di seluruh stasiun televisi, usul hitung real count kpuid harusnya mulai satu persatu daerah provinsi live siarkan seluruh stasiun televisi ,1
543, kpu tidak boleh ditekan oleh siapapun, kpu ditekan siapapun ,1
544, akhirnya semua melihat survey dan kpuid hanyalah boneka rezim pemerintah, akhir semua lihat survey kpuid hanyalah boneka rezim perintah ,-1
545, laporkan  kesalahan input situng kpu relawan it bpn desak bawaslu hentikan situng kpu temukan  persen kesalahan, laporkan  salah input situng kpu relawan it bpn desak bawaslu hentikan situng kpu temukan  persen salah ,-1
546, yakin seyakin yakinnya bahwa server situng kpuid dikendalikan oleh akun hantu secara , yakin seyakin yakinnya server situng kpuid dikendalikan akun hantu cara ,-1
547, mari kita hargai kerja waras eh kerja keras kpu yang selalu tidak sama dengan fakta di lapangan, hargai kerja waras eh kerja keras kpu selalu sama fakta lapang ,-1
548, kalau tidak bisa baca data kpu, kalau baca data kpu ,-1
549, kpuid ijin bertanya ndan pagi ini angka ditampilan web kpu tidak klop jika dihitung manual, kpuid ijin tanya ndan pagi angka ditampilan web kpu klop dihitung manual ,-1
550, bagaimana kalau besok giliran kpu liat punya bpn boleh, bagaimana kalau besok gilir kpu liat punya bpn ,1
551, bpn sudah menyerahkan dokumen adanya dugaan kecurangan di sistem perhitungan it kpu situng ke bawaslu, bpn serah dokumen duga curang sistem hitung it kpu situng bawaslu ,-1
552, kpuid  tidak bagus banyak omong , kpuid  bagus banyak omong ,-1
553, kpu boleh netapkan jokowi menang pemilu jokowi jadi presiden terserah tapi jangan salahkan rakyat marah, kpu netapkan jokowi menang pemilu jokowi jadi presiden serah jangan salahkan rakyat marah ,-1
554, kpuid terlepas dari siapa sebenarnya dirimu entah pendukung  atau  yang saya sesalkan, kpuid lepas siapa benar dirimu entah dukung   sesalkan ,-1
555, benar nasihat jika bergaul dengan tukang minyak wangi maka akan wangi jika bergaul dengan kpu yah kayak gitu, benar nasihat gaul tukang minyak wangi wangi gaul kpu yah gitu ,-1
556, kpuid aamiin semoga kpuid jujur dan berani menunjukkan kebenaran, kpuid aamiin moga kpuid jujur berani tunjuk benar ,1
557, apakah ini akibat dari hoaxnya surat suara  kontainer ada c yang dimanipulasi surat suara, akibat hoaxnya surat suara  kontainer c dimanipulasi surat suara ,-1
558, salah hitung saya tidak peduli itu sampah tapi komen lu yang bilang, salah hitung peduli sampah komen lu bilang ,-1
559, kpuid memang yang bikin undang undang siapa jangan jadi otak otak udang dong anggota kpuid, kpuid memang undang undang siapa jangan jadi otak otak udang dong anggota kpuid ,-1
560, kenapa ini beda sama yang c asli kok bisa bisanya kpuid menginput c yang salah ini gimana ini kami mengawasi anda, beda sama c asli bisanya kpuid menginput c salah gimana awas ,-1
561, ulama ajak umat islam serahkan hasil pemilu kepada kpu, ulama ajak umat islam serahkan hasil pemilu kpu ,1
562, mungkin kpuid akan tambah percaya diri karena disupport, mungkin kpuid tambah percaya diri disupport ,1
563, nah ini nih belum tau esensinya ya c di curangi kpu, esensinya c curangi kpu ,-1
564, aturan kpu terkait penetapan presiden terpilih digugat ke ma, atur kpu kait tetap presiden pilih digugat ma ,-1
565, waduh si prof jadi ikutan salah hitung macem kpu, waduh prof jadi ikut salah hitung macem kpu ,1
566, jika kesalahan input suara disengaja anggota kpu terancam penjara, salah input suara disengaja anggota kpu ancam penjara ,-1
567, kpuid semoga menjadi titik terbaik untuk nasehat menasihati jujur lah itu kunci nya, kpuid moga jadi titik baik nasehat nasihat jujur kunci ,1
568, kpuid lawan kezaliman, kpuid lawan zalim ,1
569, bawaslu banyuwangi sebelum hasil resmi kpu ri jangan ada baliho ucapan selamat, bawaslu banyuwangi hasil resmi kpu ri jangan baliho ucap selamat ,1
570, kasih selamat ke kpu karena apa, kasih selamat kpu ,1
571, kpuid akun palsu yang lebih orisinil dari yang ori, kpuid akun palsu lebih orisinil ori ,1
572, kpuid agak berantakan kayaknya, kpuid berantak kayaknya ,-1
573, system error human error manajemen error kpu error harus dibuktikan makanya audit jangan ditolak, system error human error manajemen error kpu error dibuktikan makanya audit jangan ditolak ,-1
574, yang penting saat ini awasi kpu soal pindah ibukota bisa diurus nanti, penting awasi kpu soal pindah ibukota diurus ,-1
575, ente sudah kena virus input data kpu korupsi angka presiden ke  ente tulis ke  sudah koplak ya, ente kena visa input data kpu korupsi angka presiden  ente tulis  koplak ,-1
576, kpuid pertama permainan dilakukan di tingkat kecamatan kabupaten hasil perhitungan yang sudah disepakati, kpuid pertama main dilakukan tingkat camat kabupaten hasil hitung disepakati ,-1
577, post perasaan anggota koalisi tetap menunggu hasil kpu kenapa anda ambisi banget untuk menjatuhkan kpu, post rasa anggota koalisi tetap tunggu hasil kpu ambisi banget jatuh kpu ,1
578, pergeseran kotak suara di kawal polsek medan baru ke kpu kota medan, geser kotak suara kawal polsek medan baru kpu kota medan ,1
579, ada uang dibalik pemilihan ketua kpu, uang dibalik pilih ketua kpu ,-1
580, yang curang dalam kpu dapat dosa tapi yang nuduh curang juga harus dosa juga dong, curang kpu dosa nuduh curang dosa dong ,1
581, kpuid teruskan perjuanganmu bapak tidak usah hiraukan orang yang lagi stres berat, kpuid teruskan juang bapak usah hiraukan stres berat ,1
582, gugat kpuid, gugat kpuid ,-1
583, kpuid berapa ribu lembar c palsu buatlah rakyat cerdas dengan data dan angka jangan, kpuid berapa ribu lembar c palsu buatlah rakyat cerdas data angka jangan ,-1
584, kembali diperiksa kpk ucapkan selamat untuk kpu, diperiksa kpk ucapkan selamat kpu ,1
585, kalau suara kami mau kalian pindah pinsahkan atau kalian hilangkan, kalau suara kalian pindah kalian hilangkan ,-1
586, emang andre jadi petugas kpu sekarang, emang jadi tugas kpu sekarang ,-1
587, negara ini ada yang namanya hukum yang berlaku jika benar terjadi kecurangan dan memiliki, negara namanya hukum laku benar jadi curang milik ,1
